RETAILER_ID,RETAILER_NAME,RETAILER_SKU,WEEK_ID
33,Amazon Brazil,B08GL45QCL,202419
33,Amazon Brazil,B0BXNR9DB6,202419
33,Amazon Brazil,B0B11LJ69K,202419
33,Amazon Brazil,B0BPP8Z5HL,202419
33,Amazon Brazil,B09NQPBMSY,202419
33,Amazon Brazil,B004YAVF8I,202419
33,Amazon Brazil,B0BJYS9M4R,202419
33,Amazon Brazil,B017RBNOI4,202419
33,Amazon Brazil,B01DY7E8GW,202419
33,Amazon Brazil,B08F7DBTRX,202419
33,Amazon Brazil,B00Z0UWV3O,202419
33,Amazon Brazil,B000UXZQ42,202419
33,Amazon Brazil,B0BGT5CMBJ,202419
33,Amazon Brazil,B09XQ5WSF5,202419
33,Amazon Brazil,B0B8C31YXR,202419
33,Amazon Brazil,B00WGQNJK4,202419
33,Amazon Brazil,B0B8BZRTYY,202419
33,Amazon Brazil,B00YJJB7YG,202419
33,Amazon Brazil,B086LLNJQX,202419
33,Amazon Brazil,B086LLSZKP,202419
33,Amazon Brazil,B086LKKDJT,202419
33,Amazon Brazil,B0789J6GTJ,202419
33,Amazon Brazil,B0BJY11PZY,202419
33,Amazon Brazil,B0BJYR1Z6N,202419
33,Amazon Brazil,B0BJYY4MRN,202419
33,Amazon Brazil,B07YFFK51S,202419
33,Amazon Brazil,B0B8MRK3J4,202419
33,Amazon Brazil,B08VFCH2HS,202419
33,Amazon Brazil,B08KKW2ZS2,202419
33,Amazon Brazil,B0B8MT58DG,202419
33,Amazon Brazil,B08R8GJPC2,202419
33,Amazon Brazil,B08R8DQDRK,202419
33,Amazon Brazil,B0B8MVRNWF,202419
33,Amazon Brazil,B08KKBSDTY,202419
33,Amazon Brazil,B07PDFBJZD,202419
33,Amazon Brazil,B0B8MZFRNF,202419
33,Amazon Brazil,B08HRBNHR6,202419
33,Amazon Brazil,B07RM4C1KY,202419
33,Amazon Brazil,B0BN6YD899,202419
33,Amazon Brazil,B08KY2WFGP,202419
33,Amazon Brazil,B08R8DT7X6,202419
33,Amazon Brazil,B07MP4HT95,202419
33,Amazon Brazil,B081PP4CB6,202419
33,Amazon Brazil,B084TFWTH5,202419
33,Amazon Brazil,B081415GCS,202419
33,Amazon Brazil,B08141GQQG,202419
33,Amazon Brazil,B08KKZ8S36,202419
33,Amazon Brazil,B07MRMHML9,202419
33,Amazon Brazil,B0B8MT2F32,202419
33,Amazon Brazil,B002GHBUTK,202419
33,Amazon Brazil,B072JY3PTH,202419
29,Amazon Italy,B07W6J6TG8,202419
29,Amazon Italy,B07W6HDNPF,202419
29,Amazon Italy,B07W6HLQ35,202419
29,Amazon Italy,B07W6GM6PW,202419
29,Amazon Italy,B07G6MYMKD,202419
29,Amazon Italy,B07G6B2SGF,202419
29,Amazon Italy,B07W5JHF97,202419
29,Amazon Italy,B07G6CQQYG,202419
29,Amazon Italy,B07W6JPZBL,202419
29,Amazon Italy,B07G6LWTG6,202419
29,Amazon Italy,B07G6MBCG3,202419
29,Amazon Italy,B07G6LZVWH,202419
29,Amazon Italy,B07G6DL332,202419
29,Amazon Italy,B07W6HZ85B,202419
29,Amazon Italy,B07G6DKDY8,202419
29,Amazon Italy,B07W5JKB91,202419
29,Amazon Italy,B07G6CRZ2Q,202419
29,Amazon Italy,B07W6JBTXW,202419
29,Amazon Italy,B07W7N1PZP,202419
29,Amazon Italy,B014PYGTUQ,202419
29,Amazon Italy,B000EOPQ7E,202419
29,Amazon Italy,B00N1YPXW2,202419
29,Amazon Italy,B07W7KHQLR,202419
29,Amazon Italy,B07DTTGZ7M,202419
29,Amazon Italy,B07W5JK3M6,202419
29,Amazon Italy,B002VA464S,202419
29,Amazon Italy,B07GS6ZB7T,202419
29,Amazon Italy,B07W7LW3VV,202419
29,Amazon Italy,B07W7JYP9B,202419
29,Amazon Italy,B07W5JKP66,202419
29,Amazon Italy,B07W6JHVG8,202419
29,Amazon Italy,B07W5JJ1WM,202419
29,Amazon Italy,B07W6JPVP3,202419
29,Amazon Italy,B07W6GFKXS,202419
29,Amazon Italy,B07W6JBDGX,202419
29,Amazon Italy,B07W7MJ46M,202419
29,Amazon Italy,B07SCMTKGB,202419
29,Amazon Italy,B07G5XJLWK,202419
29,Amazon Italy,B07W6J51XR,202419
29,Amazon Italy,B07S9DR8QG,202419
29,Amazon Italy,B07SF1RCYF,202419
29,Amazon Italy,B07W4DJRC5,202419
29,Amazon Italy,B00LFBEOUA,202419
29,Amazon Italy,B07W6G3KBL,202419
29,Amazon Italy,B07W6JNY7T,202419
29,Amazon Italy,B07CGNDZR3,202419
29,Amazon Italy,B07G5SF48Z,202419
29,Amazon Italy,B07W4DHKTD,202419
29,Amazon Italy,B07W5JK4F8,202419
29,Amazon Italy,B07W7L4RBX,202419
29,Amazon Italy,B07W5JKPJX,202419
29,Amazon Italy,B07CGPZ3ZQ,202419
29,Amazon Italy,B07W5JKFQC,202419
29,Amazon Italy,B07W6HSTNR,202419
29,Amazon Italy,B07W7LHQV6,202419
29,Amazon Italy,B07W4DHY5F,202419
29,Amazon Italy,B07W7MKLNT,202419
29,Amazon Italy,B07W6JN8N7,202419
29,Amazon Italy,B07SF2F2LV,202419
29,Amazon Italy,B07CGNP3RH,202419
29,Amazon Italy,B07W5JJSBK,202419
29,Amazon Italy,B07QKC4WWD,202419
29,Amazon Italy,B07GS6ZS8J,202419
29,Amazon Italy,B07W6JNYXV,202419
29,Amazon Italy,B07W4DGPGF,202419
29,Amazon Italy,B07W5JHZKS,202419
29,Amazon Italy,B07QNYCLBJ,202419
29,Amazon Italy,B07S69F4HC,202419
29,Amazon Italy,B07W6JKJ5K,202419
29,Amazon Italy,B00BT8QIJ4,202419
29,Amazon Italy,B07W6JNH7J,202419
29,Amazon Italy,B07W6HVFMF,202419
29,Amazon Italy,B0074486GA,202419
29,Amazon Italy,B07W6H8CMV,202419
29,Amazon Italy,B0056C69DO,202419
29,Amazon Italy,B00EJ3RMRS,202419
29,Amazon Italy,B07W5JK5MW,202419
29,Amazon Italy,B07W6JJSV7,202419
29,Amazon Italy,B07W4DH6FY,202419
29,Amazon Italy,B004APAH40,202419
29,Amazon Italy,B07W7L82HV,202419
29,Amazon Italy,B07W6JP976,202419
29,Amazon Italy,B004LAWLPW,202419
29,Amazon Italy,B07W8Q8VY6,202419
29,Amazon Italy,B077BT728N,202419
29,Amazon Italy,B07W7KMK4Y,202419
29,Amazon Italy,B00564NI9U,202419
29,Amazon Italy,B07W5JKNB9,202419
29,Amazon Italy,B07W8P53H7,202419
29,Amazon Italy,B07W7KV4GH,202419
29,Amazon Italy,B007BNE3QQ,202419
29,Amazon Italy,B01GJZT4HY,202419
29,Amazon Italy,B074KDM3X6,202419
29,Amazon Italy,B07W7MY2K9,202419
29,Amazon Italy,B07W4DJ2N3,202419
29,Amazon Italy,B07W5JK2S4,202419
29,Amazon Italy,B07W5JHXF8,202419
29,Amazon Italy,B07W6JP4SQ,202419
29,Amazon Italy,B00Y0G2L9I,202419
29,Amazon Italy,B003PO22H2,202419
29,Amazon Italy,B07W4DG74H,202419
29,Amazon Italy,B07W4DGCMV,202419
29,Amazon Italy,B003V4A5VG,202419
29,Amazon Italy,B0042BZWHE,202419
29,Amazon Italy,B07W6FNF6N,202419
29,Amazon Italy,B0042BBR1E,202419
29,Amazon Italy,B07W6J6WYH,202419
29,Amazon Italy,B07W6HQCNX,202419
29,Amazon Italy,B01I252A34,202419
29,Amazon Italy,B07W4DGVFV,202419
29,Amazon Italy,B0094QSF8U,202419
29,Amazon Italy,B0CHJZC1YT,202419
29,Amazon Italy,B00EJ3RN7C,202419
29,Amazon Italy,B07W7N2WFB,202419
29,Amazon Italy,B07W7K1LSC,202419
29,Amazon Italy,B0056C7W1C,202419
29,Amazon Italy,B07W6HLJJT,202419
29,Amazon Italy,B07W6HSTPC,202419
29,Amazon Italy,B07W5JKHJN,202419
29,Amazon Italy,B003PAMIA2,202419
29,Amazon Italy,B005KSYPGW,202419
29,Amazon Italy,B00XJ3LVPI,202419
29,Amazon Italy,B003ZY9Z40,202419
29,Amazon Italy,B07VWFKTK7,202419
29,Amazon Italy,B07W7LZVN9,202419
29,Amazon Italy,B07VTRX1LD,202419
29,Amazon Italy,B07W7K2QLG,202419
29,Amazon Italy,B07W5JKPSF,202419
29,Amazon Italy,B07W7MZDX7,202419
29,Amazon Italy,B07W6HHWZS,202419
29,Amazon Italy,B07W1NZXRB,202419
29,Amazon Italy,B07W6GVS5C,202419
29,Amazon Italy,B07W7MBLBW,202419
29,Amazon Italy,B07W5JKB92,202419
29,Amazon Italy,B07W6H32W5,202419
29,Amazon Italy,B07VV8R58C,202419
29,Amazon Italy,B07W6JNQ82,202419
29,Amazon Italy,B07W7KN8XZ,202419
29,Amazon Italy,B01LQTFOYK,202419
29,Amazon Italy,B07W7M625D,202419
29,Amazon Italy,B07W6JMQW4,202419
29,Amazon Italy,B07W4DH5GL,202419
29,Amazon Italy,B07W7MQMDH,202419
29,Amazon Italy,B07W6HRQKT,202419
29,Amazon Italy,B07W5JJNG4,202419
29,Amazon Italy,B07W7N38X8,202419
